Quarter,Territorial authority,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,  South Waikato district,11460,11650,10540,90.5,10570,10850,9180,84.6,7400,1130,1310,16.3,530,720,82811300
,  Waitomo district (modified),10320,10550,8850,83.9,9090,9240,8380,90.7,3710,490,600,14.5,190,300,37104700
,  Taupo district (modified),10640,10920,9250,84.7,9590,9830,8490,86.4,12700,2000,1920,15.5,960,890,129365300
,  Western Bay of Plenty district,9190,9580,7480,78.1,8490,8840,6960,78.7,13550,3480,7760,35.8,1650,5930,116514200
,  Tauranga city,11180,11510,9570,83.2,9980,10310,8190,79.4,45930,6850,7550,15.6,2950,3660,498500400
,  Rotorua district,10880,11130,9270,83.3,9780,10020,8220,82,27300,4100,3720,14.4,1970,1580,287838500
,  Whakatane district (modified),10580,10730,10440,97.3,9370,9610,8680,90.3,12030,1940,3030,19.7,1000,2090,121124300
,  Kawerau district,14870,15200,12100,79.6,14500,14940,10880,72.8,2700,270,380,12,120,220,40526800
,  Opotiki district,9150,9280,9140,98.5,8200,8420,7070,84,2790,600,1010,26.8,350,760,23499400
,  Gisborne district,10310,10540,9150,86.8,9240,9470,7980,84.3,17260,2900,3210,17.6,1510,1830,168886200
,  Wairoa district,9400,9650,8050,83.4,8720,8950,7040,78.7,2800,580,780,23.5,290,480,24805900
,  Hastings district (modified),10980,11220,9260,82.5,9890,10100,8190,81.1,31020,4930,7970,19.8,2520,5560,331213100
,  Napier city,10070,10370,8520,82.2,9210,9550,7320,76.7,22560,3370,3610,15.4,1530,1770,220330300
,  Central Hawke's Bay district,9500,9820,7380,75.2,9200,9510,6680,70.2,4590,750,1620,23.6,360,1230,42625600
,  New Plymouth district,12240,12580,9880,78.5,10190,10500,8060,76.8,32040,3870,4120,12.4,1610,1870,390512600
,  Stratford district,9440,9690,7970,82.3,8320,8470,7320,86.4,2620,370,380,14.2,190,200,23968300
,  South Taranaki district,12150,12540,8850,70.6,11070,11420,8450,74,10820,1380,1850,14.6,740,1200,128967400
,  Ruapehu district (modified),10960,11580,8420,72.7,10070,10690,6890,64.5,6400,1860,930,23.6,1300,370,63445300
,  Wanganui district,10510,10730,8880,82.8,9530,9720,7610,78.3,16760,1800,2180,11.8,770,1150,172530500
,  Rangitikei district (modified),9210,9370,8310,88.7,8370,8530,7560,88.6,4740,690,830,15.8,380,520,42538800
,  Manawatu district,10440,10780,8360,77.6,9830,10140,7500,74,8340,1080,1230,13.7,530,680,85486000
,  Palmerston North city,11620,12010,8610,71.7,10370,10670,7590,71.1,44000,5260,5580,12.3,1840,2160,495084600
,  Tararua district,9370,9660,7910,81.9,8520,8750,7420,84.8,5200,870,750,15.7,500,380,46358700
,  Horowhenua district,9330,9530,8640,90.7,8370,8560,7420,86.7,7890,940,1130,13,460,640,72612200
,  Kapiti Coast district,9580,9900,7780,78.6,8430,8690,6620,76.2,11280,1590,1660,14.3,800,860,105456900
,  Porirua city,11760,12150,9210,75.8,10480,10780,8130,75.4,14690,2050,2340,14.8,1070,1370,168887800
,  Upper Hutt city,11580,11890,9190,77.3,10450,10710,7460,69.7,10600,1340,1630,13.8,610,910,121081400
,  Lower Hutt city,12230,12570,9900,78.8,10790,11100,8690,78.3,42010,5130,5490,12.6,2130,2490,507519500
,  Wellington city,16140,16620,12740,76.7,13390,13760,10510,76.4,132380,17080,16860,12.8,6760,6540,2077443500
,  Masterton district,9670,9980,7590,76.1,8750,9050,6260,69.2,9310,1180,1200,12.7,540,560,88068300
,  Carterton district,9590,9740,8590,88.2,9070,9220,8130,88.2,2450,280,310,12.1,150,170,22693800
,  South Wairarapa district,8530,8900,6800,76.4,7840,8210,5230,63.7,2480,450,480,18.6,260,290,20684000
,  Tasman district,10100,10310,9120,88.5,9200,9370,8250,88.1,14840,2310,3670,19.3,1030,2390,144482900
,  Nelson city,10910,11180,9220,82.5,9650,9910,7920,79.9,22830,3100,3620,14.6,1210,1730,243171100
,  Marlborough district,10680,10960,9070,82.8,9780,10050,7640,76,20040,4320,3830,20.6,2480,1990,200437400
,  Kaikoura district,8790,8970,8580,95.7,8170,8310,7040,84.7,1290,180,280,16.8,85,190,11077400
,  Buller district,12460,12610,12090,95.9,11540,11860,11080,93.4,4170,580,560,13.9,280,260,50621000
,  Grey district,11370,11700,10600,90.6,10100,10410,9360,89.9,6670,760,900,12.3,320,460,75203200
,  Westland district,10290,10450,9540,91.3,9600,9730,9340,96,2990,410,560,15.8,170,310,29817400
,  Hurunui district,8980,9200,8220,89.4,8390,8580,7760,90.4,3480,780,710,21.6,430,360,29456100
,  Waimakariri district,9590,9710,9170,94.4,8730,8870,7980,90,10140,1270,1360,12.9,600,680,94170900
,  Christchurch city (modified),11710,12080,9320,77.2,10230,10540,8080,76.7,176120,22110,23110,12.8,9590,10590,2008066000
,  Selwyn district,11630,11830,9590,81.1,10770,10900,9140,83.9,11890,1790,1670,14.7,870,760,132080100
,  Ashburton district,10510,10850,8900,82,10000,10280,8380,81.5,13230,2730,2120,18.8,1720,1110,135801500
,  Timaru district,10620,10850,8880,81.8,9840,10050,8130,80.9,18910,2770,3080,15.3,1360,1670,198135000
,  Mackenzie district,11550,12020,9200,76.5,9220,9310,8430,90.6,1450,290,310,20.9,160,180,15391000
,  Waimate district,10070,10180,9550,93.8,9530,9600,9850,102.6,1950,380,340,18.7,210,170,18775900
,  Waitaki district,10040,10260,8970,87.4,9440,9620,8880,92.3,8280,1330,1560,17.2,680,910,83259000
,  Central Otago district,9740,9900,8720,88.1,9040,9190,8190,89.1,7650,1390,1530,18.9,720,860,71738400
,  Queenstown-Lakes district,10220,10900,8130,74.6,9010,9760,6990,71.6,15510,5010,2960,27.5,3300,1250,146561700
,  Dunedin city,10810,11170,8160,73.1,9650,9990,7120,71.3,51980,6230,6790,12.5,2330,2890,547021300
,  Clutha district,10230,10510,8600,81.8,9880,10080,8560,84.9,6230,1320,1390,21.7,590,670,62760700
,  Southland district,10890,11050,10000,90.5,10500,10720,9930,92.6,10870,2390,3410,25.5,1050,2070,114339000
,  Gore district,9450,9780,7150,73.1,8930,9310,6380,68.5,5270,1040,1020,19.7,640,620,49199700
,  Invercargill city,10680,10970,8400,76.6,9610,9890,7380,74.6,23920,2810,3240,12.5,1220,1650,248377400
Jun-10,Total territorial authority,12110,12620,10570,83.8,10480,10880,9200,84.6,1794020,376130,348460,20.4,171800,144130,21073062300
,  Far North district,9600,9830,9340,95,8700,9090,7660,84.3,16570,3480,3840,21.8,1710,2070,153055700
,  Whangarei district,11610,12040,10260,85.2,10260,10620,8750,82.4,28330,5780,5150,19.5,2760,2130,321032300
,  Kaipara district,9860,10160,9460,93.1,8850,9160,8170,89.2,4950,1000,970,20,570,540,47210500
,  Rodney district,10360,10610,9890,93.2,9290,9590,8610,89.8,21250,4270,4020,19.6,2250,2000,216468800
,  North Shore city,12600,13210,10740,81.3,11010,11480,9410,82,82110,17420,15260,20.2,8010,5850,1007522700
,  Waitakere city,11240,11590,10550,91,10120,10400,9510,91.4,44520,8830,7820,18.9,3920,2900,489016000
,  Auckland city,14540,15250,11970,78.5,12030,12500,10270,82.2,293620,62610,55820,20.4,28670,21880,4145135000
,  Manukau city,12810,13290,11430,86,11250,11580,10190,88,121050,23530,22830,19.2,9320,8620,1520917200
,  Papakura district,11830,12180,11340,93.1,10990,11250,10390,92.4,14780,3070,3230,21.2,1320,1480,171816600
,  Franklin district,11270,11770,9780,83.1,9610,10040,8350,83.2,16900,3110,3020,18.1,1540,1460,185011300
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,9240,9390,9290,98.9,8210,8420,7720,91.7,8300,1770,2090,22.8,740,1060,74557000
,  Hauraki district,10150,10400,9900,95.2,8880,9160,8460,92.4,5080,1080,880,19.6,600,400,50081400
,  Waikato district,12180,12500,11820,94.6,10760,11070,10110,91.3,11340,2480,2380,21.5,1300,1200,135068900
,  Matamata-Piako district,11250,11620,9990,86,10000,10260,9240,90.1,12310,2350,2140,18.3,1150,940,133980200
,  Hamilton city,12090,12740,10280,80.7,10620,11120,9120,82,70090,16090,14270,21.9,6930,5120,815499200
,  Waipa district,10570,10980,9320,84.9,9770,10150,8080,79.6,14060,2870,2860,20.4,1370,1370,144580000
,  Otorohanga district,10600,10700,10650,99.5,10340,10390,10820,104.1,3170,680,710,21.7,280,310,31848100
,  South Waikato district,11460,11910,9960,83.6,10270,10800,8730,80.8,7600,1490,1240,18.3,740,490,84258300
,  Waitomo district (modified),10350,10340,11350,109.8,9340,9440,9690,102.7,3810,800,860,21.6,290,350,38124100
,  Taupo district (modified),10180,10500,9160,87.2,9260,9550,8120,85,12610,2600,2650,20.8,1070,1130,126082800
,  Western Bay of Plenty district,9590,10220,8480,83,8620,9290,7560,81.4,17850,9290,3340,42.5,7500,1550,140600700
,  Tauranga city,11030,11390,10030,88.1,9830,10130,8850,87.4,46710,10920,9250,22,4740,3070,496785300
,  Rotorua district,10700,11050,9490,85.9,9550,9850,8240,83.7,26820,5170,5420,19.7,2140,2390,279674100
,  Whakatane district (modified),10210,10730,9050,84.3,8840,9390,7630,81.3,13120,4230,2550,27.6,2880,1200,125936200
,  Kawerau district,14800,15680,10650,67.9,14010,15080,8320,55.2,2800,380,450,14.6,170,230,42233600
,  Opotiki district,8840,9250,8100,87.6,7800,8400,6260,74.5,3210,1240,610,32,950,320,25878100
,  Gisborne district,10150,10540,9140,86.7,9040,9480,7630,80.5,17580,4000,4430,23.7,1920,2350,171712600
,  Wairoa district,9830,9990,9830,98.4,9110,9430,7970,84.5,2990,700,710,23.6,310,320,28031000
,  Hastings district (modified),11180,11660,9750,83.6,9770,10220,8360,81.8,34080,7790,9110,24.3,3550,4870,365692000
,  Napier city,10300,10660,9330,87.5,9260,9550,8080,84.6,22790,5130,4840,22.1,2070,1780,227908700
,  Central Hawke's Bay district,9690,9850,9900,100.5,9280,9500,9070,95.5,5460,1480,1290,25.7,650,460,51898500
,  New Plymouth district,12160,12500,10890,87.1,10150,10470,8700,83.1,32310,5890,5450,17.7,2610,2170,391545900
,  Stratford district,9350,9550,9370,98.1,8310,8680,7120,82,2640,470,430,17,250,210,23743800
,  South Taranaki district,12350,12410,13050,105.2,11110,11110,12390,111.5,11300,2120,1690,17.1,1240,810,136225000
,  Ruapehu district (modified),11330,11590,11310,97.6,10400,10650,10430,97.9,5460,1360,1380,25.2,510,530,58424400
,  Wanganui district,10350,10610,9730,91.7,9400,9640,8540,88.6,17140,3090,2770,17.3,1290,970,172579900
,  Rangitikei district (modified),9360,9670,8800,91,8780,9100,7460,82,4880,870,1120,20,420,680,44892400
,  Manawatu district,11020,11190,11100,99.2,10060,10160,10400,102.4,8470,1760,1640,20.2,750,640,89536500
,  Palmerston North city,11500,12000,9830,81.9,10250,10580,8700,82.2,44340,8720,7940,19,3380,2600,492637600
,  Tararua district,9380,9610,9020,93.9,8370,8760,7090,80.9,5070,880,1170,19.8,440,730,46298100
,  Horowhenua district,9270,9380,9470,101,8430,8620,7840,91,8080,1730,1430,20.2,790,480,72822300
,  Kapiti Coast district,9510,9690,9100,93.9,8470,8710,7640,87.7,11340,2300,2140,19.7,1070,920,104797500
,  Porirua city,11530,11770,11140,94.7,10400,10630,9950,93.6,14970,3040,2820,19.7,1200,980,169735500
,  Upper Hutt city,11880,12060,12030,99.8,10510,10630,11170,105.1,10900,2250,2230,20.5,800,790,128352100
,  Lower Hutt city,12010,12390,10670,86.1,10510,10790,9480,87.9,42350,8170,7340,18.5,3560,2730,496596400
,  Wellington city,15010,15800,12220,77.3,12550,13120,10400,79.3,132170,26720,24110,19.4,9930,7310,1938953200
,  Masterton district,9600,9920,9000,90.7,8800,9090,7800,85.8,9330,1690,1750,18.4,670,740,87183200
,  Carterton district,9830,10070,8650,85.9,9190,9350,7530,80.5,2480,390,410,16,200,220,23592200
,  South Wairarapa district,8700,8880,7940,89.4,8070,8270,6350,76.8,2500,590,630,24.2,340,380,21679200
,  Tasman district,9880,10250,8690,84.8,8990,9360,7410,79.2,16190,3990,3650,23.8,2100,1760,154253700
,  Nelson city,10630,10980,9810,89.3,9440,9750,8460,86.8,23360,5240,4820,21.7,2290,1870,241800200
,  Marlborough district,10590,10940,9600,87.8,9690,10000,8660,86.6,19560,4750,4650,24.1,2200,2100,204499100
,  Kaikoura district,9160,9230,8890,96.3,8150,8380,7170,85.6,1390,270,370,22.1,120,220,12291400
,  Buller district,12070,12280,11820,96.3,11110,11480,10360,90.2,4160,800,840,19.6,390,430,50253900
,  Grey district,11450,11760,10510,89.4,10270,10520,9370,89.1,6810,1330,1300,19.3,640,600,76916100
,  Westland district,10330,10510,9910,94.3,9410,9530,9020,94.7,3130,650,880,23.5,290,510,31528300
,  Hurunui district,8880,9090,8570,94.3,8210,8470,7400,87.4,3430,760,860,23.3,370,470,30833700
,  Waimakariri district,9590,9760,9460,96.9,8620,8870,8020,90.4,10230,1940,1620,17.7,1070,750,95569800
,  Christchurch city (modified),11610,12060,10090,83.7,10180,10540,8720,82.7,177140,33920,30520,18.4,14720,11310,1994019100
,  Selwyn district,11490,12010,10450,87,10730,11150,9980,89.5,11750,2500,2360,20.8,1080,940,128866600
,  Ashburton district,10570,10850,9910,91.3,10000,10280,8820,85.8,12620,2130,2800,19,940,1610,130827700
,  Timaru district,10630,10990,9350,85.1,9730,10100,8260,81.8,19220,3500,3690,18.7,1740,1920,198863500
,  Mackenzie district,10290,10660,9470,88.8,8790,9000,7880,87.6,1470,320,520,27.1,140,340,14627500
,  Waimate district,9730,10050,8670,86.3,9230,9500,8330,87.7,1900,330,390,18.9,180,240,18115900
,  Waitaki district,10170,10480,9350,89.2,9560,9870,8070,81.8,8500,1500,1670,18.5,710,870,86218800
,  Central Otago district,9770,10040,9150,91.1,8880,9180,8220,89.5,7800,1750,2530,26.2,810,1580,73574700
,  Queenstown-Lakes district,10210,10750,8440,78.5,9220,9740,7560,77.6,13420,3510,4340,28.4,1400,2230,133280800
,  Dunedin city,10750,11450,8150,71.2,9550,10200,6780,66.5,52570,10470,9160,18.9,5460,4150,549405100
,  Clutha district,10330,10700,8830,82.5,9910,10190,8220,80.7,6310,1070,1760,21.2,540,1230,63992600
,  Southland district,11030,11160,11210,100.5,10550,10760,10330,96,11890,2190,3710,23.3,1100,2620,132723600
,  Gore district,9760,10100,8780,86.9,9110,9500,7790,82,5230,870,1460,21.1,390,990,52479300
,  Invercargill city,10680,11130,8980,80.7,9570,9960,7740,77.7,24340,4670,4080,18.2,2210,1620,250908700
Mar-10,Total territorial authority,11980,12350,9020,73,10260,10580,7590,71.7,1766360,281820,314030,16.7,117920,150140,20351024800
,  Far North district,9340,9690,7240,74.7,8590,8930,6370,71.3,16930,3710,3800,22.1,1690,1780,152598400
,  Whangarei district,11320,11630,8630,74.2,9990,10250,7200,70.2,27680,4200,5080,16.5,1530,2410,302652700
,  Kaipara district,9400,9780,6970,71.3,8680,8990,6480,72.1,4910,960,1300,22.3,450,790,44842700
,  Rodney district,10060,10410,7380,70.9,9040,9380,6520,69.5,21010,3510,4140,18,1580,2200,204474400
,  North Shore city,12420,12790,9530,74.5,10660,11010,7890,71.7,80000,12270,14200,16.3,4830,6760,952202700
,  Waitakere city,10770,11030,8190,74.3,9650,9890,7110,71.9,43660,6810,8290,17,2560,4040,457581800
,  Auckland city,14460,14830,11390,76.8,11750,12040,9120,75.8,286770,41530,46060,15.1,17050,21570,3999121600
,  Manukau city,12640,13000,9360,72,10920,11240,8060,71.7,120260,18310,20590,16.1,7280,9560,1466938000
,  Papakura district,11400,11670,8440,72.3,10400,10680,7700,72.1,14950,2130,2540,15.5,700,1110,167987600
,  Franklin district,11230,11660,7490,64.2,9390,9770,6700,68.6,16840,2880,3150,17.8,1340,1610,179436700
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,9010,9460,6410,67.8,8080,8580,5410,63.1,8620,1670,1680,19.4,730,740,76830900
,  Hauraki district,10060,10340,7250,70.1,8800,9060,6030,66.6,4900,840,950,17.9,350,470,47677000
,  Waikato district,11940,12340,9500,77,10550,10910,8870,81.3,11260,2230,3270,23.3,990,2030,127642000
,  Matamata-Piako district,10900,11100,9500,85.6,9840,10010,8330,83.2,12100,1880,2030,16,880,1030,127358200
,  Hamilton city,11910,12280,8590,70,10440,10750,7070,65.8,68270,9740,11960,15.6,3660,5880,779676500
,  Waipa district,10370,10710,7090,66.2,9500,9830,6630,67.5,14050,2350,2650,17.6,1110,1420,138651400
,  Otorohanga district,10310,10670,7340,68.8,9710,10010,6250,62.4,3200,500,570,16.5,250,310,33687900
,  South Waikato district,11140,11440,7940,69.4,10100,10480,7410,70.7,7350,1110,1340,16.5,410,640,77736200
,  Waitomo district (modified),10150,10530,7500,71.2,9330,9710,7140,73.5,3880,770,760,19.8,340,330,38207100
,  Taupo district (modified),10310,10660,7870,73.8,9330,9630,7170,74.5,12680,2370,2760,19.9,920,1310,125837700
,  Western Bay of Plenty district,9290,9650,7570,78.5,8610,8900,7390,83,11890,2760,3350,25,1190,1780,108712700
,  Tauranga city,10700,11020,8360,75.9,9530,9860,7090,71.9,45030,7310,8600,17.4,2800,4090,465602400
,  Rotorua district,10610,10950,7840,71.6,9320,9630,6530,67.8,27080,4440,4840,17,1890,2290,276906800
,  Whakatane district (modified),10200,10600,6900,65.1,8840,9330,5550,59.5,11440,1970,2450,18.9,710,1180,113687600
,  Kawerau district,15740,16300,9460,58,15000,15720,7350,46.8,2870,420,450,15.1,200,240,44295000
,  Opotiki district,8980,9260,6680,72.1,8000,8190,6040,73.8,2580,600,760,25.3,210,380,22004400
,  Gisborne district,10210,10570,7250,68.6,9100,9420,6610,70.2,18000,4090,4190,22.9,2020,2120,169858100
,  Wairoa district,9570,9630,8980,93.3,9050,8770,9390,107.1,3010,700,760,24,340,410,27263800
,  Hastings district (modified),10500,10970,7940,72.4,9490,10000,7220,72.2,35400,9010,6710,22.9,4840,2540,346500400
,  Napier city,9920,10280,6890,67,9020,9360,6110,65.3,22490,4050,4190,18.3,1710,1850,213373100
,  Central Hawke's Bay district,9690,10160,7470,73.5,9350,9770,7220,73.9,5280,1470,1110,25.3,910,550,49646200
,  New Plymouth district,11930,12200,9230,75.7,9940,10190,7230,71,31870,4620,5630,15.9,1750,2760,375757900
,  Stratford district,9060,9360,6910,73.8,8240,8440,6350,75.2,2600,430,510,17.9,180,250,23055500
,  South Taranaki district,11690,12130,8720,71.9,10290,10640,8120,76.3,10870,1630,1620,15,820,810,127266600
,  Ruapehu district (modified),10650,11000,8160,74.2,9600,9930,6900,69.5,5490,990,1210,19.6,410,630,56595800
,  Wanganui district,10330,10580,8340,78.8,9380,9550,7430,77.8,16810,2530,2740,15.6,1110,1320,168613800
,  Rangitikei district (modified),9300,9570,7650,79.9,8640,8830,7350,83.2,5140,1260,1180,23.9,720,640,45327300
,  Manawatu district,10190,10400,8610,82.8,9540,9690,7850,81,8340,1430,1430,17.1,650,650,81777500
,  Palmerston North city,11230,11540,8380,72.6,9990,10250,7100,69.3,43550,5520,7010,14.2,1830,3320,473917900
,  Tararua district,9310,9560,6780,70.9,8370,8560,6440,75.2,5350,1100,1080,20.5,580,550,46820700
,  Horowhenua district,8900,9170,6310,68.8,8190,8450,5700,67.5,7540,1130,1530,17.1,420,820,66109600
,  Kapiti Coast district,9250,9590,6270,65.4,8170,8480,5640,66.5,11180,1820,2080,17.3,670,940,100356200
,  Porirua city,11270,11810,6760,57.2,9960,10420,5240,50.3,14730,2080,2620,15.6,750,1280,163895200
,  Upper Hutt city,10930,11160,9480,85,9620,9860,6790,68.9,10870,1710,1970,16.8,660,920,116599300
,  Lower Hutt city,11780,12110,8780,72.5,10270,10550,7340,69.6,41540,5730,6650,14.8,2240,3160,473511000
,  Wellington city,15580,15980,11830,74,12870,13230,9290,70.2,129800,16650,19940,13.9,6260,9550,1957908900
,  Masterton district,9480,9740,6540,67.2,8660,8890,6140,69.1,9400,1480,1790,17.1,490,800,85457900
,  Carterton district,9490,9620,7850,81.6,8770,8840,7200,81.5,2510,370,460,16.2,180,260,22617300
,  South Wairarapa district,8600,9030,5830,64.6,7870,8250,5150,62.4,2540,470,540,19.6,210,290,21036600
,  Tasman district,9780,10270,6880,67,8940,9370,6470,69.1,15870,3510,3050,21,1870,1410,148689800
,  Nelson city,10480,10920,6960,63.7,9320,9680,6260,64.7,22940,4130,4310,18.4,1800,1980,233697300
,  Marlborough district,10370,10760,7520,69.9,9500,9880,6940,70.2,19450,3830,4430,20.9,1500,2100,190038700
,  Kaikoura district,8600,8940,7050,78.9,8110,8400,7090,84.4,1490,340,320,22.5,180,160,12581400
,  Buller district,11860,11800,11340,96.1,11100,10800,10640,98.5,4200,810,800,19.2,430,420,47716900
,  Grey district,11130,11410,8250,72.3,9840,10090,7080,70.2,6760,1060,1020,15.5,590,550,72924600
,  Westland district,9960,10330,8050,77.9,9130,9540,7440,78,3350,800,710,22.8,350,250,32259700
